abstract_sku,concrete_sku,name.en_US,name.de_DE,description.en_US,description.de_DE,is_searchable.en_US,is_searchable.de_DE,is_quantity_splittable
SPORTS0,SPORTS0C,"100 Base Layer Ski Pants Women's","100 Base Layer Ski Pants Women's","100 Base Layer Ski Pants Women's | Designed for female skiers practicing at low intensity (low levels of perspiration), looking for a soft, comfortable base layer in cold weather., Enjoy a warm and comfortable base layer with a brushed component, flat seams, and a stretch knit., Moisture wicking, VERY LOW: component encourages wicking and minimal drying., Warmth, AVERAGE: brushed interior for warmth., Odor control, VERY LOW: polyester fiber has low capacity to reduce odors.","100 Base Layer Ski Pants Women's | Designed for female skiers practicing at low intensity (low levels of perspiration), looking for a soft, comfortable base layer in cold weather., Enjoy a warm and comfortable base layer with a brushed component, flat seams, and a stretch knit., Moisture wicking, VERY LOW: component encourages wicking and minimal drying., Warmth, AVERAGE: brushed interior for warmth., Odor control, VERY LOW: polyester fiber has low capacity to reduce odors.",1,1,0
SPORTS1,SPORTS1C,"Thermal Underwear Base Layer Top Women's","Thermal Underwear Base Layer Top Women's","Thermal Underwear Base Layer Top Women's | Designed for female skiers and snowboarders looking for a warm, technical base layer with stretch., This warm base layer, will keep you comfortable throughout the day., Moisture wicking, VERY LOW: a fabric that provides moisture wicking and low-level drying., Warmth, AVERAGE: brushed lining for warmth., Odor control, VERY LOW: the polyester fiber has a low odor-reducing capacity.","Thermal Underwear Base Layer Top Women's | Designed for female skiers and snowboarders looking for a warm, technical base layer with stretch., This warm base layer, will keep you comfortable throughout the day., Moisture wicking, VERY LOW: a fabric that provides moisture wicking and low-level drying., Warmth, AVERAGE: brushed lining for warmth., Odor control, VERY LOW: the polyester fiber has a low odor-reducing capacity.",1,1,0
SPORTS2,SPORTS2C,"100 Ski Jacket Men's","100 Ski Jacket Men's","100 Ski Jacket Men's | This warm and comfortable jacket is great for learning to ski in the best conditions., In addition to being warm, this jacket provides essential protection against the elements. Ideal for making the most of your skiing holiday., Waterproof, CORRECT: 3000 mm-rated coating., Warmth, Insulation made of extra-thick recycled fill., Easy to use, Elasticated tightening at the cuff to prevent snow from entering., Breathability, Breathable fabric., Water repellent, Water-repellent outer fabric that does not absorb water., User comfort, A soft, warm collar for guaranteed protection and comfort., Pockets, 4 pockets: 2 hand, 1 ski pass, 1 inner.","100 Ski Jacket Men's | This warm and comfortable jacket is great for learning to ski in the best conditions., In addition to being warm, this jacket provides essential protection against the elements. Ideal for making the most of your skiing holiday., Waterproof, CORRECT: 3000 mm-rated coating., Warmth, Insulation made of extra-thick recycled fill., Easy to use, Elasticated tightening at the cuff to prevent snow from entering., Breathability, Breathable fabric., Water repellent, Water-repellent outer fabric that does not absorb water., User comfort, A soft, warm collar for guaranteed protection and comfort., Pockets, 4 pockets: 2 hand, 1 ski pass, 1 inner.",1,1,0
SPORTS3,SPORTS3C,"Forclaz Trek 500 Merino Wool Hiking Hat Adult","Forclaz Trek 500 Merino Wool Hiking Hat Adult","Forclaz Trek 500 Merino Wool Hiking Hat Adult | Our Backpacker team imagined this merino wool hat to protect you from the cold during backpacking bivouacs., Merino wool, when you want both warmth and a compact design!, Durability, Use of wool fiber surrounded by polyamide yarn for protection., Warmth, Merino wool offers a good balance of warmth and compact design, Odor control, Wool naturally helps prevent unpleasant odors., Softness, Ultra-fine (18.5 microns), soft merino wool. Does not itch., Moisture wicking, The highly absorbent nature of wool helps keep the head dry","Forclaz Trek 500 Merino Wool Hiking Hat Adult | Our Backpacker team imagined this merino wool hat to protect you from the cold during backpacking bivouacs., Merino wool, when you want both warmth and a compact design!, Durability, Use of wool fiber surrounded by polyamide yarn for protection., Warmth, Merino wool offers a good balance of warmth and compact design, Odor control, Wool naturally helps prevent unpleasant odors., Softness, Ultra-fine (18.5 microns), soft merino wool. Does not itch., Moisture wicking, The highly absorbent nature of wool helps keep the head dry",1,1,0
SPORTS4,SPORTS4C,"Wedze FR100 Freeride Ski Jacket Women's","Wedze FR100 Freeride Ski Jacket Women's","Wedze FR100 Freeride Ski Jacket Women's | Our women designers developed this jacket for beginner women Freeriders. Discover Freeride while keeping warm and dry in all conditions., Discover Freeride with confidence! Jacket with 100% taped seams, ventilation zippers, padding (5.3 oz on body, 2.1 oz on arms). All of this to keep you warm and dry !!!, Waterproof, Coated fabric with wtpf rating 5,000mm, seams 100% sealed,wtpf zipper/underflap., Breathability, Breathable RET12 coating, vents help wick away perspiration, Freedom of movement, Loose cut helps you move freely. Hood goes over helmet., Warmth, 5.3 oz/m² padding (bust) 2.1 oz (arm) protects from the cold, vents regulate., Pockets, 5 pockets: 2 hand, 2 chest (1 inside, 1 outside) 1 ski pass pocket on the arm., Easy to spot, Recco® system to facilitate the search in the event of an avalanche., Anatomical design, 3D hood adjustment that can be put over helmet and that follows your movements.","Wedze FR100 Freeride Ski Jacket Women's | Our women designers developed this jacket for beginner women Freeriders. Discover Freeride while keeping warm and dry in all conditions., Discover Freeride with confidence! Jacket with 100% taped seams, ventilation zippers, padding (5.3 oz on body, 2.1 oz on arms). All of this to keep you warm and dry !!!, Waterproof, Coated fabric with wtpf rating 5,000mm, seams 100% sealed,wtpf zipper/underflap., Breathability, Breathable RET12 coating, vents help wick away perspiration, Freedom of movement, Loose cut helps you move freely. Hood goes over helmet., Warmth, 5.3 oz/m² padding (bust) 2.1 oz (arm) protects from the cold, vents regulate., Pockets, 5 pockets: 2 hand, 2 chest (1 inside, 1 outside) 1 ski pass pocket on the arm., Easy to spot, Recco® system to facilitate the search in the event of an avalanche., Anatomical design, 3D hood adjustment that can be put over helmet and that follows your movements.",1,1,0
SPORTS5,SPORTS5C,"Forclaz Men's MT100 Hooded Down Puffer Jacket","Forclaz Men's MT100 Hooded Down Puffer Jacket","Forclaz Men's MT100 Hooded Down Puffer Jacket | This ethically sourced (RDS certified) down and feather jacket keeps you warm in temperatures between 23° and 41°F., Warm and lightweight, it is the most compressible of our down jackets and takes up less space in your backpack so you can travel light!, Warmth, Comfortable between 41°F and 23°F. RDS ethical down with a fill power of 800 in³, Compact design, Easily folds away into its left-hand pocket using a zipper with double pull, Water repellent, Surface-treated outer fabric to prevent water from getting in, Weight, This down jkt weighs approximately 10.2 oz in size MFabric 1.2 oz/m²; 15 denier","Forclaz Men's MT100 Hooded Down Puffer Jacket | This ethically sourced (RDS certified) down and feather jacket keeps you warm in temperatures between 23° and 41°F., Warm and lightweight, it is the most compressible of our down jackets and takes up less space in your backpack so you can travel light!, Warmth, Comfortable between 41°F and 23°F. RDS ethical down with a fill power of 800 in³, Compact design, Easily folds away into its left-hand pocket using a zipper with double pull, Water repellent, Surface-treated outer fabric to prevent water from getting in, Weight, This down jkt weighs approximately 10.2 oz in size MFabric 1.2 oz/m²; 15 denier",1,1,0
SPORTS6,SPORTS6C,"Men's Breathable Crew Neck Essential Fitness T-Shirt - Mottled Grey","Men's Breathable Crew Neck Essential Fitness T-Shirt - Mottled Grey","Men's Breathable Crew Neck Essential Fitness T-Shirt - Mottled Grey | Our design teams put their heart into designing this fitness T-shirt for your first workout...and every workout after!, This fitness T-shirt is an ultimate wardrobe basic! A simple design, soft feel and breathable fabric make it a must for your fitness outfits., Moisture wicking, Stay dry! The fabric dries and wicks away perspiration quickly., Stretchy, Stretch and cut which provide great freedom of movement., Lightweight, A 132g/m² fabric., Easy maintenance, Ability to be easily maintained and to dry quickly.","Men's Breathable Crew Neck Essential Fitness T-Shirt - Mottled Grey | Our design teams put their heart into designing this fitness T-shirt for your first workout...and every workout after!, This fitness T-shirt is an ultimate wardrobe basic! A simple design, soft feel and breathable fabric make it a must for your fitness outfits., Moisture wicking, Stay dry! The fabric dries and wicks away perspiration quickly., Stretchy, Stretch and cut which provide great freedom of movement., Lightweight, A 132g/m² fabric., Easy maintenance, Ability to be easily maintained and to dry quickly.",1,1,0
SPORTS7,SPORTS7C,"Kalenji Sun Protect UV-Proof Long-Sleeved Running T-Shirt Women's","Kalenji Sun Protect UV-Proof Long-Sleeved Running T-Shirt Women's","Kalenji Sun Protect UV-Proof Long-Sleeved Running T-Shirt Women's | We developed this T-shirt for women running in warm or mild spring or autumn weather, who are looking for sun protection., This long-sleeved running T-shirt's soft anti-UV fabric protects you from the sun when running!, Moisture wicking, The fabric wicks perspiration away to keep you dry., Sun protection, The fabric protects you from the effects of the sun (UPF 50+), Softness, A soft-touch material that is similar to cotton.","Kalenji Sun Protect UV-Proof Long-Sleeved Running T-Shirt Women's | We developed this T-shirt for women running in warm or mild spring or autumn weather, who are looking for sun protection., This long-sleeved running T-shirt's soft anti-UV fabric protects you from the sun when running!, Moisture wicking, The fabric wicks perspiration away to keep you dry., Sun protection, The fabric protects you from the effects of the sun (UPF 50+), Softness, A soft-touch material that is similar to cotton.",1,1,0
SPORTS8,SPORTS8C,"Arpenaz NH100 Hiking 10 L Backpack","Arpenaz NH100 Hiking 10 L Backpack","Arpenaz NH100 Hiking 10 L Backpack | Our team of hikers designed this NH100 10-liter backpack to go with you on your hikes on the lowland, in the forest, or along the coast in dry weather., A 10-liter backpack designed so that you can carry essential items safely on all trails with gentle slopes., Carrying comfort, Padded back and straps | Thumb rests, Pockets, 1 main compartment with a double zipper | 1 deep outer compartment, Capacity, Volume: 10 liters (610.2 in³) | Weight: 5.1 oz | Dimensions: 15.4” x 8.3” x 4.7”, Abrasion resistant, Durable, abrasion-resistant materials and assemblies | 10-year warranty, Ventilation, Simple back | No ventilation system, Easy to use, Easy access to the outside pocket by putting the bag on horizontally when hiking","Arpenaz NH100 Hiking 10 L Backpack | Our team of hikers designed this NH100 10-liter backpack to go with you on your hikes on the lowland, in the forest, or along the coast in dry weather., A 10-liter backpack designed so that you can carry essential items safely on all trails with gentle slopes., Carrying comfort, Padded back and straps | Thumb rests, Pockets, 1 main compartment with a double zipper | 1 deep outer compartment, Capacity, Volume: 10 liters (610.2 in³) | Weight: 5.1 oz | Dimensions: 15.4” x 8.3” x 4.7”, Abrasion resistant, Durable, abrasion-resistant materials and assemblies | 10-year warranty, Ventilation, Simple back | No ventilation system, Easy to use, Easy access to the outside pocket by putting the bag on horizontally when hiking",1,1,0
SPORTS9,SPORTS9C,"Domyos 100 Men's Breathable Fitness Shorts","Domyos 100 Men's Breathable Fitness Shorts","Domyos 100 Men's Breathable Fitness Shorts | Whether you're starting fitness or making a comeback in the gym, these stretchy, breathable, comfortable shorts will become your go-to., We all need a technical, comfortable product for our fitness workouts! That's why our teams designed these shorts to meet your every need and offer them at the best price!, Moisture wicking, Stay dry! The fabric is breathable and also dries quickly.","Domyos 100 Men's Breathable Fitness Shorts | Whether you're starting fitness or making a comeback in the gym, these stretchy, breathable, comfortable shorts will become your go-to., We all need a technical, comfortable product for our fitness workouts! That's why our teams designed these shorts to meet your every need and offer them at the best price!, Moisture wicking, Stay dry! The fabric is breathable and also dries quickly.",1,1,0
